"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.896414870E-1,1.490000039E-1,5.500000119E-1,8.799999952E-2,5.765804490E-1
3.946227970E-1,1.019999981E-1,6.029999852E-1,1.169999987E-1,6.226571942E-1
3.996040290E-1,8.399999887E-2,6.489999890E-1,2.409999967E-1,6.973793688E-1
4.045854940E-1,8.600000292E-2,6.610000134E-1,2.939999998E-1,7.285279803E-1
4.095667270E-1,9.799999744E-2,6.620000005E-1,3.619999886E-1,7.608495198E-1
4.145480320E-1,9.600000083E-2,6.409999728E-1,3.829999864E-1,7.528518811E-1
4.195292650E-1,5.799999833E-2,5.950000286E-1,4.160000086E-1,7.283165802E-1
4.245107250E-1,3.099999949E-2,5.239999890E-1,4.990000129E-1,7.242499578E-1
4.294919580E-1,2.700000070E-2,4.280000031E-1,5.109999776E-1,6.671086716E-1
4.344731930E-1,8.399999887E-2,3.289999962E-1,3.379999995E-1,4.791043696E-1
4.394544990E-1,9.200000018E-2,2.329999954E-1,1.280000061E-1,2.813129919E-1
4.444357220E-1,1.030000001E-1,1.850000024E-1,0.000000000E0,2.117404092E-1
4.494171810E-1,5.700000003E-2,1.439999938E-1,-9.799999744E-2,1.832730142E-1
4.543984090E-1,2.300000004E-2,1.439999938E-1,-1.689999998E-1,2.232173787E-1
4.593797150E-1,3.299999982E-2,1.309999973E-1,-2.300000042E-1,2.667395756E-1
4.643609480E-1,7.400000095E-2,8.799999952E-2,-2.680000067E-1,2.916230506E-1
4.693424220E-1,1.459999979E-1,2.700000070E-2,-2.409999967E-1,2.830653596E-1
4.743236550E-1,2.010000050E-1,-7.000000216E-3,-2.000000030E-1,2.836370977E-1
4.793049610E-1,2.509999871E-1,-4.199999943E-2,-8.699999750E-2,2.689497965E-1
4.842861690E-1,2.590000033E-1,-6.499999762E-2,1.799999923E-2,2.676378176E-1
4.892676290E-1,2.199999988E-1,-8.299999684E-2,7.100000232E-2,2.456216588E-1
4.942488620E-1,1.410000026E-1,-6.499999762E-2,9.499999881E-2,1.820192303E-1
4.992301870E-1,3.999999911E-2,-4.699999839E-2,6.700000167E-2,9.109335871E-2
5.042114200E-1,-5.600000173E-2,-1.400000043E-2,4.800000042E-2,7.507329915E-2
5.091928800E-1,-1.319999993E-1,-4.000000190E-3,6.300000101E-2,1.463181463E-1
5.141741180E-1,-1.949999928E-1,-4.999999888E-3,6.899999827E-2,2.069081849E-1
5.191554230E-1,-2.360000014E-1,-8.000000380E-3,5.700000003E-2,2.429176829E-1
5.241367030E-1,-2.680000067E-1,-2.000000095E-3,-1.300000027E-2,2.683225738E-1
5.291181630E-1,-2.579999864E-1,-1.400000043E-2,-8.500000089E-2,2.720018256E-1
5.340993950E-1,-1.979999989E-1,-4.600000009E-2,-1.289999932E-1,2.407509041E-1
5.390806910E-1,-9.399999678E-2,-8.299999684E-2,-1.809999943E-1,2.201953605E-1
5.440619240E-1,2.700000070E-2,-9.099999815E-2,-2.199999988E-1,2.396038380E-1
5.490431550E-1,1.220000014E-1,-9.499999881E-2,-2.099999934E-1,2.607853473E-1
5.540246060E-1,2.370000035E-1,-1.199999973E-1,-2.329999954E-1,3.533525135E-1
5.590058390E-1,3.219999969E-1,-1.710000038E-1,-2.829999924E-1,4.615343920E-1
5.639871530E-1,3.310000002E-1,-2.109999955E-1,-3.170000017E-1,5.045502941E-1
5.689686140E-1,3.009999990E-1,-1.879999936E-1,-3.560000062E-1,5.026738519E-1
5.739498470E-1,2.560000122E-1,-1.420000046E-1,-3.459999859E-1,4.532284168E-1
5.789311580E-1,2.199999988E-1,-5.299999937E-2,-3.310000002E-1,4.009613442E-1
5.839123910E-1,1.340000033E-1,3.299999982E-2,-3.129999936E-1,3.420730870E-1
5.888936210E-1,-1.300000027E-2,8.399999887E-2,-3.199999928E-1,3.310966554E-1
5.938750720E-1,-1.749999970E-1,1.209999993E-1,-3.009999990E-1,3.686014083E-1
5.988563050E-1,-3.140000105E-1,1.550000012E-1,-2.389999926E-1,4.239599078E-1
6.038376100E-1,-4.259999990E-1,2.049999982E-1,-1.430000067E-1,4.939129482E-1
6.088188470E-1,-5.109999776E-1,2.469999939E-1,-1.080000028E-1,5.777490586E-1
6.138003070E-1,-5.690000057E-1,2.660000026E-1,-1.319999993E-1,6.418263065E-1
6.187815390E-1,-6.050000191E-1,2.500000000E-1,-1.630000025E-1,6.746065697E-1
6.237628360E-1,-5.709999800E-1,2.220000029E-1,-1.790000051E-1,6.382522857E-1
6.287440690E-1,-4.679999948E-1,2.199999988E-1,-2.029999942E-1,5.555474707E-1
6.337255090E-1,-3.440000117E-1,2.419999987E-1,-2.020000070E-1,4.665876233E-1
6.387067420E-1,-2.039999962E-1,2.639999986E-1,-2.240000069E-1,4.018556965E-1
6.436880580E-1,-6.899999827E-2,2.430000007E-1,-2.560000122E-1,3.596470580E-1
6.486692910E-1,7.500000298E-2,2.529999912E-1,-2.870000005E-1,3.898756164E-1
6.536505220E-1,1.920000017E-1,2.509999871E-1,-2.430000007E-1,3.986401818E-1
6.586319860E-1,2.809999883E-1,2.649999857E-1,-1.909999996E-1,4.308909209E-1
6.636132960E-1,3.059999943E-1,2.199999988E-1,-2.430000007E-1,4.484250175E-1
6.685945270E-1,3.000000119E-1,1.800000072E-1,-3.359999955E-1,4.850731972E-1
6.735759760E-1,2.070000023E-1,1.289999932E-1,-4.900000095E-1,5.473481603E-1
6.785572090E-1,2.890000045E-1,1.840000004E-1,-3.819999993E-1,5.131286410E-1
6.835385100E-1,2.469999939E-1,2.820000052E-1,-2.759999931E-1,4.655201351E-1
6.885197420E-1,1.909999996E-1,3.170000017E-1,-1.159999967E-1,3.878479085E-1
6.935012020E-1,1.519999951E-1,3.050000072E-1,-1.000000015E-1,3.551464531E-1
6.984824590E-1,1.180000007E-1,2.759999931E-1,-1.099999994E-1,3.196873414E-1
7.034637640E-1,7.900000364E-2,2.809999883E-1,-6.899999827E-2,2.999383166E-1
7.084449870E-1,4.199999943E-2,2.619999945E-1,-6.899999827E-2,2.741696497E-1
7.134264470E-1,5.299999937E-2,2.549999952E-1,-6.400000304E-2,2.681976844E-1
